Time,FA,FB,FC,h,x,v
0,50,50,100,1,0.5,0.5
0.01,50,50,100,1,0.5,0.5
0.02,50,50,100,1,0.5,0.5
0.03,50,50,100,1,0.5,0.5
0.04,50,50,100,1,0.5,0.5
0.05,50,50,100,1,0.5,0.5
0.06,50,50,100,1,0.5,0.5
0.07,50,50,100,1,0.5,0.5
0.08,50,50,100,1,0.5,0.5
0.09,50,50,100,1,0.5,0.5
0.1,47.858,50,100,1,0.5,0.5
0.11,47.858,50,99.998,0.99996,0.49998,0.5
0.12,47.858,50,99.996,0.99991,0.49996,0.5
0.13,47.858,50,99.994,0.99987,0.49994,0.5
0.14,47.858,50,99.991,0.99983,0.49991,0.5
0.15,47.858,50,99.989,0.99979,0.49989,0.5
0.16,47.858,50,99.987,0.99974,0.49987,0.5
0.17,47.858,50,99.985,0.9997,0.49985,0.5
0.18,47.858,50,99.983,0.99966,0.49983,0.5
0.19,47.858,50,99.981,0.99962,0.49981,0.5
0.2,50.2,50,99.979,0.99957,0.49979,0.5
0.21,50.2,50,99.979,0.99958,0.49979,0.5
0.22,50.2,50,99.979,0.99958,0.49979,0.5
0.23,50.2,50,99.979,0.99959,0.49979,0.5
0.24,50.2,50,99.98,0.99959,0.4998,0.5
0.25,50.2,50,99.98,0.9996,0.4998,0.5
0.26,50.2,50,99.98,0.9996,0.4998,0.5
0.27,50.2,50,99.98,0.9996,0.4998,0.5
0.28,50.2,50,99.98,0.99961,0.49981,0.5
0.29,50.2,50,99.981,0.99961,0.49981,0.5
0.3,48.588,50,99.981,0.99962,0.49981,0.5
0.31,48.588,50,99.979,0.99959,0.4998,0.5
0.32,48.588,50,99.978,0.99956,0.49978,0.5
0.33,48.588,50,99.977,0.99953,0.49977,0.5
0.34,48.588,50,99.975,0.99951,0.49976,0.5
0.35,48.588,50,99.974,0.99948,0.49974,0.5
0.36,48.588,50,99.973,0.99945,0.49973,0.5
0.37,48.588,50,99.971,0.99942,0.49972,0.5
0.38,48.588,50,99.97,0.9994,0.4997,0.5
0.39,48.588,50,99.968,0.99937,0.49969,0.5
0.4,52.003,50,99.967,0.99934,0.49968,0.5
0.41,52.003,50,99.969,0.99938,0.4997,0.5
0.42,52.003,50,99.971,0.99942,0.49972,0.5
0.43,52.003,50,99.973,0.99946,0.49974,0.5
0.44,52.003,50,99.975,0.9995,0.49976,0.5
0.45,52.003,50,99.977,0.99954,0.49978,0.5
0.46,52.003,50,99.979,0.99958,0.4998,0.5
0.47,52.003,50,99.981,0.99962,0.49982,0.5
0.48,52.003,50,99.983,0.99966,0.49984,0.5
0.49,52.003,50,99.985,0.99971,0.49986,0.5
0.5,39.491,50,99.987,0.99975,0.49988,0.5
0.51,39.491,50,99.977,0.99954,0.49978,0.5
0.52,39.491,50,99.966,0.99933,0.49967,0.5
0.53,39.491,50,99.956,0.99912,0.49957,0.5
0.54,39.491,50,99.945,0.99891,0.49946,0.5
0.55,39.491,50,99.935,0.9987,0.49936,0.5
0.56,39.491,50,99.924,0.99849,0.49925,0.5
0.57,39.491,50,99.914,0.99828,0.49915,0.5
0.58,39.491,50,99.904,0.99807,0.49905,0.5
0.59,39.491,50,99.893,0.99786,0.49894,0.5
0.6,46.698,50,99.883,0.99766,0.49884,0.5
0.61,46.698,50,99.88,0.99759,0.49881,0.5
0.62,46.698,50,99.876,0.99753,0.49878,0.5
0.63,46.698,50,99.873,0.99746,0.49875,0.5
0.64,46.698,50,99.87,0.9974,0.49872,0.5
0.65,46.698,50,99.867,0.99734,0.49868,0.5
0.66,46.698,50,99.864,0.99727,0.49865,0.5
0.67,46.698,50,99.86,0.99721,0.49862,0.5
0.68,46.698,50,99.857,0.99715,0.49859,0.5
0.69,46.698,50,99.854,0.99708,0.49856,0.5
0.7,52.001,50,99.851,0.99702,0.49853,0.5
0.71,52.001,50,99.853,0.99706,0.49856,0.5
0.72,52.001,50,99.855,0.99711,0.49858,0.5
0.73,52.001,50,99.857,0.99715,0.4986,0.5
0.74,52.001,50,99.86,0.99719,0.49862,0.5
0.75,52.001,50,99.862,0.99724,0.49865,0.5
0.76,52.001,50,99.864,0.99728,0.49867,0.5
0.77,52.001,50,99.866,0.99732,0.49869,0.5
0.78,52.001,50,99.868,0.99736,0.49872,0.5
0.79,52.001,50,99.87,0.99741,0.49874,0.5
0.8,43.412,50,99.872,0.99745,0.49876,0.5
0.81,43.412,50,99.866,0.99732,0.4987,0.5
0.82,43.412,50,99.859,0.99719,0.49863,0.5
0.83,43.412,50,99.853,0.99706,0.49857,0.5
0.84,43.412,50,99.847,0.99693,0.49851,0.5
0.85,43.412,50,99.84,0.9968,0.49844,0.5
0.86,43.412,50,99.834,0.99668,0.49838,0.5
0.87,43.412,50,99.827,0.99655,0.49832,0.5
0.88,43.412,50,99.821,0.99642,0.49825,0.5
0.89,43.412,50,99.814,0.99629,0.49819,0.5
0.9,51.412,50,99.808,0.99616,0.49813,0.5
0.91,51.412,50,99.81,0.9962,0.49815,0.5
0.92,51.412,50,99.811,0.99623,0.49816,0.5
0.93,51.412,50,99.813,0.99626,0.49818,0.5
0.94,51.412,50,99.814,0.99629,0.4982,0.5
0.95,51.412,50,99.816,0.99632,0.49822,0.5
0.96,51.412,50,99.818,0.99636,0.49824,0.5
0.97,51.412,50,99.819,0.99639,0.49825,0.5
0.98,51.412,50,99.821,0.99642,0.49827,0.5
0.99,51.412,50,99.822,0.99645,0.49829,0.5
1,53.913,50,99.824,0.99648,0.49831,0.5
1.01,53.913,50,99.828,0.99656,0.49835,0.5
1.02,53.913,50,99.832,0.99665,0.49839,0.5
1.03,53.913,50,99.836,0.99673,0.49844,0.5
1.04,53.913,50,99.84,0.99681,0.49848,0.5
1.05,53.913,50,99.844,0.99689,0.49852,0.5
1.06,53.913,50,99.848,0.99697,0.49856,0.5
1.07,53.913,50,99.853,0.99705,0.4986,0.5
1.08,53.913,50,99.857,0.99713,0.49865,0.5
1.09,53.913,50,99.861,0.99722,0.49869,0.5
1.1,50.381,50,99.865,0.9973,0.49873,0.5
1.11,50.381,50,99.865,0.99731,0.49874,0.5
1.12,50.381,50,99.866,0.99732,0.49874,0.5
1.13,50.381,50,99.866,0.99733,0.49875,0.5
1.14,50.381,50,99.867,0.99734,0.49876,0.5
1.15,50.381,50,99.867,0.99735,0.49876,0.5
